AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
319352389,A Bright Future,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,08/15/2014,(570)344-3330,,,3821 Birney Ave,,Moosic,PA,18507,,3821 Birney Ave,,Moosic,PA,18507,,Director,Ms,Kathleen,,Bender,,(570)335-8662,,,,
312066563,A Bundle of Joy Care Center LLC,Miscellaneous,,,Berks,Open,03/15/2011,(610)741-7738,,,1218 Luzerne St,,Reading,PA,19601,,1218 Luzerne St,,Reading,PA,19601,,Director,Ms,Rocio,,Damato,,(610)741-7738,,,,
300400140,A C T,"Other Private, Non-Licensed Entity",18,Luzerne IU 18,Luzerne,Open,07/17/1995,,,,361 Northampton St,,Kingston,PA,18704,5401,361 Northampton St,,Kingston,PA,18704,5401,,,,,,,,,,,
325230010,A Champion Driving School,Private Driver Training School,25,Delaware County IU 25,Delaware,Open,03/11/2004,(610)789-0900,,,956 Brenton Road,,Drexel Hill,PA,19026,,956 Brenton Road,,Drexel Hill,PA,19026,,Director,,Morris, ,Birnbaum,,(610)237-6044,,,,
330461937,A Chance to Heal,Act 48 Independent Provider,,,Montgomery,Open,09/13/2007,(267)546-9009,,,P. O. Box 2342,,Jenkintown,PA,19046,,P. O. Box 2342,,Jenkintown,PA,19046,,,,,,,,,,,,
320481226,A Child's Choice Montessori School,"Licensed, Private Academic School",20,Colonial IU 20,Northampton,Open,04/17/2015,(610)533-5503,,,424 Center Street,,Bethlehem,PA,18018,,424 Center Street,,Bethlehem,PA,18018,,Director,Ms,Erin,M,Vavra,,(610)533-5503,,,,
346513839,A Childs Dream Leadership Inc.,Miscellaneous,,,Philadelphia,Open,10/23/2013,(215)220-1109,,,2501 S 58th Street,,Philadelphia,PA,19143,6115,2501 S 58th Street,,Philadelphia,PA,19143,6115,Director,Ms,Scynthia,,Michel,,(267)221-0338,,,,
349098189,A CHILDS WORLD,Miscellaneous,,,Bucks,Open,09/07/2007,(215)949-8900,,,183 BRISTOL-OXFORD VALLEY ROAD,,LANGHORNE,PA,19047,,183 BRISTOL-OXFORD VALLEY ROAD,,LANGHORNE,PA,19047,,Director,Mr,TINA,,WALTERS,,(215)949-8900,,,,
356256862,A Childs World Day Care & Learning Center Inc,Miscellaneous,5,Northwest Tri-County IU 5,Erie,Open,01/23/2007,(814)774-1113,,,10081 Ridge Road,Suite C,Girard,PA,16417,9403,10081 Ridge Road,Suite C,Girard,PA,16417,9403,Director,Ms,Carrie,,LeSuer,,(814)774-1113,,,,
300020094,A CHILDS WORLD DAYCARE CENTER INC,Miscellaneous,,,Allegheny,Open,02/13/2006,(412)636-9000,,,2061 MONEGAHELA AVE,,SWISSVALE,PA,15218,,2061 MONEGAHELA AVE,,SWISSVALE,PA,15218,,,,,,,,,,,,
300460420,A Confident Driving School Inc ,Private Driver Training School,23,Montgomery County IU 23,Montgomery,Open,07/06/1990,(610)667-4300,,,2 Bala Plaza  Suite 300,PO Box 2314,Bala Cynwyd,PA,19004,6314,2 Bala Plaza  Suite 300,PO Box 2314,Bala Cynwyd,PA,19004,6314,Director,,Mark, ,Rosenstein,,(215)473-5432,,,,
319350004,A Country Place Preschool,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,04/19/2002,(570)587-0851,,,1814 Newton Ransom Blvd,,Clarks Summit,PA,18411,,1814 Newton Ransom Blvd,,Clarks Summit,PA,18411,,Director,Ms,Lisa,B,Montella,,(570)563-5034,,,,
300020005,A Developmental Journey Inc,Miscellaneous,3,Allegheny IU 3,Allegheny,Open,01/26/2000,(412)673-5541,,,312 Ringold St,,McKeesport,PA,15132,,312 Ringold St,,McKeesport,PA,15132,,Director,,Anica,M,Sayles,,,,,,
300201270,A Fullers Country Seasons CC,Miscellaneous,5,Northwest Tri-County IU 5,Crawford,Open,10/19/2000,(814)683-5978,,,15185 Linesville Rd,,Linesville,PA,16424,,15185 Linesville Rd,,Linesville,PA,16424,,Director,Ms,Amy,L,Fuller,,,,,,
300260090,A G Montessori School,"Licensed, Private Academic School",1,Intermediate Unit 1,Fayette,Open,10/01/1994,(724)439-6116,,,199 Edison Street,,Uniontown,PA,15401,0000,199 Edison St,,Uniontown,PA,15401,,Director,Ms,Marjorie,R,Murphy,,(724)887-0856,,,,
302252391,A Gadley Enterprises Inc DBA Young Environment Learning Ctr,Miscellaneous,,,Erie,Open,03/13/2013,(814)455-1741,,,1120 W 26th St,,Erie,PA,16508,1518,1120 W 26th St,,Erie,PA,16508,1518,Chief Executive Officer,Ms,Ann Marie,,Gadley,,(814)455-1741,,,,
342024654,A HOME AWAY FROM HOME CHRISTIAN DAYCARE INC,Miscellaneous,,,Allegheny,Open,10/20/2010,(412)377-7444,,,5732 BAUM BLVD.,,PITTSBURGH,PA,15206,3763,5732 BAUM BLVD.,,PITTSBURGH,PA,15206,3763,Director,Ms,LUCRETIA,,MCGEE,,,,,,
300011500,A New Dawn Camp,"Other Private, Non-Licensed Entity",12,Lincoln IU 12,Adams,Open,07/06/1990,(734)276-8552,,,PO Box 3553,,Harrisburg,PA,17105,3553,PO Box 3553,,Harrisburg,PA,17105,3553,,,,,,,,,,,
300110005,A Pauline Page Playhouse Schools,Miscellaneous,,,Cambria,Open,05/15/2002,(814)539-2799,,,315 Locust Street,,Johnstown,PA,15901,,315 Locust Street,,Johnstown,PA,15901,,,,,,,,,,,,
308090707,A Perfect Place,Miscellaneous,22,Bucks County IU 22,Bucks,Open,06/29/2007,(215)946-8013,,,3710 Green Lane,,Levittown,PA,19057,2609,3710 Green Lane,,Levittown,PA,19057,2609,Director,Ms,Danielle,,Newsham,,,,,,
300170300,A Place To Grow Inc,Miscellaneous,10,Central IU 10,Clearfield,Open,05/01/1998,(814)371-6881,,,RD 1  Box 1098,Route 219 South,Duboise,PA,15801,,RD 1  Box 1098,Route 219 South,Duboise,PA,15801,,Director,,Tamara,M,Coray,,,,,,
318400008,A Plus Driver Education ,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,06/10/2005,(570)693-4108,,,173 E 8th Street,,Wyoming,PA,18644,,173 E 8th Street,,Wyoming,PA,18644,,Director,,Richard,W,Boyar,,(570)693-4108,,,,
367225465,A Plus Kids Early Learning Center,Miscellaneous,,,Dauphin,Open,05/22/2013,(717)234-1830,,,2336 North 3rd Street,,Harrisburg,PA,17110,,2336 North 3rd Street,,Harrisburg,PA,17110,,Director,Ms,Arleen,,Bonheur,,(717)234-1830,,,,
373028121,"A Plus School of Driving, LLC",Private Driver Training School,3,Allegheny IU 3,Allegheny,Open,03/07/2012,(412)726-4772,,,801 Vine Street,,Coraopolis,PA,15108,,801 Vine Street,,Coraopolis,PA,15108,,Director,,Allen,H,Todeschini,,(412)264-3803,,,,
412015305,A R Wentz Library,Library,,,Adams,Open,12/29/2005,(717)334-6286,,,61 Seminary Ridge Ave ,,Gettysburg ,PA,17325,,61 Seminary Ridge Ave ,,Gettysburg ,PA,17325,,,,,,,,,,,,
324150015,A Safeway Driving School LLC,Private Driver Training School,24,Chester County IU 24,Chester,Open,07/29/2003,(717)285-0974,,,3178 Grande Oak Place,,Lancaster,PA,17601,,3178 Grande Oak Place,,Lancaster,PA,17601,,Director,,John,L,Mumma,Jr,(717)285-0974,,,,
329540002,A Step Ahead,"Licensed, Private Academic School",29,Schuylkill IU 29,Schuylkill,Open,08/27/2004,(570)739-2223,,,768 South Route 183,,Schuylkill Haven,PA,17972,,768 S Route 183,,Schuylkill Haven,PA,17972,,Director,Ms,Jane,,Petrilla,,(570)754-3167,,,,
390152073,A Total Approach,Act 48 Independent Provider,,,Chester,Open,05/28/2009,(484)840-1529,,,9 LaCrue Ave.,Suite 103,Glen Mills,PA,19342,,9 LaCrue Ave.,Suite 103,Glen Mills,PA,19342,,,,,,,,,,,,
356511602,A UNIQUE LEARNING EXPERIENCE,Miscellaneous,,,Philadelphia,Open,04/22/2011,(215)989-0554,,,1916 WEST WILLARD STREET,,PHILADELPHAI,PA,19140,,1916 WEST WILLARD STREET,,PHILADELPHAI,PA,19140,,Director,Ms,MODESTINE,,GILLETTE,,,,,,
103020407,A W Beattie Career Center,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,07/06/1990,(412)847-1900,,http://www.beattietech.com,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,Director Vocational Education,Mr,Eric,C,Heasley,,(412)847-1900,,,,
304410412,A Way to Grow Learning adn Development Center,Miscellaneous,,,Lycoming,Open,09/11/2015,(570)398-4025,,,115 Howard Street,,Jershey Shore,PA,17740,1713,115 Howard Street,,Jershey Shore,PA,17740,1713,Director,Ms,Kim,,Scott,,(570)279-3255,,,,
393090478,A Woman's Place,Act 48 Independent Provider,,,Bucks,Open,08/12/2010,(215)343-9241,114,,PO Box 299,,Doylestown,PA,18901,,PO Box 299,,Doylestown,PA,18901,,,,,,,,,,,,
396519776,A&A Enterprises DBA Education Nation Learning Academy,Miscellaneous,,,Philadelphia,Open,07/24/2014,(215)789-1888,,,1203 N 3rd Street,,Philadelphia,PA,19122,4405,1203 N 3rd Street,,Philadelphia,PA,19122,4405,Director,Ms,Amen,,Brown,,(267)388-5063,,,,
362023027,A+ CHILDCARE,Miscellaneous,,,Allegheny,Open,02/20/2009,(412)481-3180,,,208 MOUNTAIN STREET,,PITTSBURGH,PA,15210,2646,705 EAST WARRINGTON,,PITTSBURGH,PA,15210,1561,Director,Mr,JAMES,,THOMAS,,,,,,
300450050,A-1 Ayers Driving School,Private Driver Training School,20,Colonial IU 20,Monroe,Open,07/06/1990,(570)629-5219,,,195 Deibert Drive,,Stroudsburg,PA,18360,,195 Deibert Drive,,Stroudsburg,PA,18360,,Director,,Donald,G,Ayers,,(717)629-5219,,,,
300650250,A-1 Driver Training School,Private Driver Training School,7,Westmoreland IU 7,Westmoreland,Open,07/06/1990,(412)373-8468,,,13179 Ridge Road,,North Huntingdon,PA,15642,,13179 Ridge Road,,North Huntingdon,PA,15642,,Director,,, ,Vacant,,((41)2)8-63-1,,,,
300650250,A-1 Driver Training School,Private Driver Training School,7,Westmoreland IU 7,Westmoreland,Open,07/06/1990,(412)373-8468,,,13179 Ridge Road,,North Huntingdon,PA,15642,,13179 Ridge Road,,North Huntingdon,PA,15642,,Director,,Todd, ,Carolan,,(412)754-2051,,,,
300223630,A-1 Gepharts Driving School,Private Driver Training School,15,Capital Area IU 15,Dauphin,Open,07/06/1990,(717)545-9876,,,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,Director,,, ,Vacant,,((71)7)5-45-9,,,,
300223630,A-1 Gepharts Driving School,Private Driver Training School,15,Capital Area IU 15,Dauphin,Open,07/06/1990,(717)545-9876,,,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,Director,,, ,Vacant,Jr,((71)7)5-45-9,,,,
300223630,A-1 Gepharts Driving School,Private Driver Training School,15,Capital Area IU 15,Dauphin,Open,07/06/1990,(717)545-9876,,,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,4859 Londonderry Rd,,Harrisburg,PA,17109,5205,Director,,Todd,W,Gephart,,(717)545-9876,,,,
300360020,"A-1 Mumma's Driving Training School, Inc.",Private Driver Training School,13,Lancaster-Lebanon IU 13,Lancaster,Open,07/06/1990,(717)295-5793,,,1274 Wilson Avenue,,Lancaster,PA,17603,,1274 Wilson Avenue,,Lancaster,PA,17603,,Director,,Isabel,V,Bentz,,(717)295-5793,,,,
359518794,A-1 the Pros,Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,03/12/2014,(267)251-2686,,,1839 S. 6th Street,,Philadelphia,PA,19148,,1839 S. 6th Street,,Philadelphia,PA,19148,,Director,,Herndon,A,Brown,,(215)755-7925,,,,
323308479,A. Rafail Driving School,Private Driver Training School,1,Intermediate Unit 1,Greene,Open,11/26/2013,(724)883-3291,,,1202 Jefferson Road,,Jefferson,PA,15344,,1202 Jefferson Road,,Jefferson,PA,15344,,Director,,Alan,E,Rafail,,(724)833-0057,,,,
315220016,Aa to Zz Child Care,"Licensed, Private Academic School",15,Capital Area IU 15,Dauphin,Open,08/18/2006,(717)540-0505,,,PO Box 555,,Hershey,PA,17033,,88 S Hershey Rd,,Harrisburg,PA,17112,,Director,Ms,Ashleigh,,Zimmerman,,,,,,
315220115,Aa to Zz Child Care,"Licensed, Private Academic School",15,Capital Area IU 15,Dauphin,Open,06/19/2009,(717)566-1488,,,PO Box 555,,Hershey,PA,17033,,205 S John St,,Hummelstown,PA,17036,,Director,Ms,Maryann,,Huzvar,,(717)838-3051,,,,
300220022,"Aa TO Zz CHILD CARE AND LEARNING CENTER, INC.",Miscellaneous,,,Dauphin,Open,10/28/2005,,,,88 S HERSHEY ROAD,,HARRISBURG,PA,17112,,88 S HERSHEY ROAD,,HARRISBURG,PA,17112,,,,,,,,,,,,
300360010,AAA Lancaster County D S ,Private Driver Training School,13,Lancaster-Lebanon IU 13,Lancaster,Open,10/13/1998,(717)898-6900,,,804 Estelle Dr,,Lancaster,PA,17601,2121,804 Estelle Dr,,Lancaster,PA,17601,2121,Director,,, ,Vacant,,(717)626-7226,,,,
300360010,AAA Lancaster County D S ,Private Driver Training School,13,Lancaster-Lebanon IU 13,Lancaster,Open,10/13/1998,(717)898-6900,,,804 Estelle Dr,,Lancaster,PA,17601,2121,804 Estelle Dr,,Lancaster,PA,17601,2121,Director,,Margaret, ,Weinlein,,(717)898-6900,,,,
426510819,"AAA School of Trucking, Inc",Private Licensed School,,,Philadelphia,Open,08/18/2009,(267)324-5957,,http://www.aaaschooloftrucking.com,442 East Girard Avenue,,Philadelphia,PA,19125,,442 East Girard Avenue,,Philadelphia,PA,19125,,Chief Executive Officer,Mr,Ryan,A,Soloby,,(267)324-5957,,,,
426510819,"AAA School of Trucking, Inc",Private Licensed School,,,Philadelphia,Open,08/18/2009,(267)324-5957,,http://www.aaaschooloftrucking.com,442 East Girard Avenue,,Philadelphia,PA,19125,,442 East Girard Avenue,,Philadelphia,PA,19125,,Chief Executive Officer,Ms,Emily,C,Kiser,,(800)536-1619,,,,
415228149,"AAA School of Trucking, Inc.",Private Licensed School,,,Dauphin,Open,08/15/1997,(717)652-3652,,http://www.aaaschooloftrucking.com/,6003 Jonestown Road,,Harrisburg,PA,17112,,6003 Jonestown Road,,Harrisburg,PA,17112,,Chief Executive Officer,Ms,Beth,,Greiff,,(717)652-3652,,,,
415228149,"AAA School of Trucking, Inc.",Private Licensed School,,,Dauphin,Open,08/15/1997,(717)652-3652,,http://www.aaaschooloftrucking.com/,6003 Jonestown Road,,Harrisburg,PA,17112,,6003 Jonestown Road,,Harrisburg,PA,17112,,Chief Executive Officer,Ms,Susan   ,,First,,(717)652-2085,,,,
318400010,AAAA Driving Academy,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,09/22/2005,(570)371-3798,,,446 N. Main Street,,Wilkes Barre,PA,18705,,446 N. Main Street,,Wilkes Barre,PA,18705,,Director,Mr,Brian,,Fischer,,,,,,
318400010,AAAA Driving Academy,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,09/22/2005,(570)371-3798,,,446 N. Main Street,,Wilkes Barre,PA,18705,,446 N. Main Street,,Wilkes Barre,PA,18705,,Director,Mr,Brian, ,Fisher,,(570)283-5647,,,,
300230017,AARDVARK CHILD CARE & LEARNING CENTER,Miscellaneous,,,Delaware,Open,01/13/2006,,,,P O BOX 469,335 CHEYNEY ROAD,GLEN MILLS,PA,19342,,P O BOX 469,335 CHEYNEY ROAD,GLEN MILLS,PA,19342,,,,,,,,,,,,
325230047,Aardvark Child Care and Learning Center Inc,"Licensed, Private Academic School",25,Delaware County IU 25,Delaware,Open,06/19/2006,(610)358-8998,,,PO Box 469,,Glen Mills,PA,19342,,335 Cheyney Road,,Glen Mills,PA,19342,,Director,Ms,Joanne,L,Drinkard,,(610)325-9592,,,,
325230046,Aardvark Day Care Inc.,"Licensed, Private Academic School",25,Delaware County IU 25,Delaware,Open,06/19/2006,(610)622-2324,,,PO Box 823,,Primos,PA,19018,,739 Secane Avenue,,Primos,PA,19018,,Director,Ms,Joanne,L,Drinkard,,(610)325-9592,,,,
415221139,AASP-PA Automotive School,Private Licensed School,,,Dauphin,Open,11/13/2007,(717)564-8400,,http://www.aasp-pa.org,2151 Greenwood Street,,Harrisburg,PA,17104,,2151 Greenwood Street,,Harrisburg,PA,17104,,Chief Executive Officer,Mr,Jeffrey,,Walter,,(717)564-8400,,,,
415221139,AASP-PA Automotive School,Private Licensed School,,,Dauphin,Open,11/13/2007,(717)564-8400,,http://www.aasp-pa.org,2151 Greenwood Street,,Harrisburg,PA,17104,,2151 Greenwood Street,,Harrisburg,PA,17104,,Chief Executive Officer,Ms,Margaret,,Doubrava,,(717)564-8400,,,,
415221139,AASP-PA Automotive School,Private Licensed School,,,Dauphin,Open,11/13/2007,(717)564-8400,,http://www.aasp-pa.org,2151 Greenwood Street,,Harrisburg,PA,17104,,2151 Greenwood Street,,Harrisburg,PA,17104,,Chief Executive Officer,Ms,Pamela,,Thomas,,(717)564-8400,,,,
322090084,Abacus Montessori Academy,"Licensed, Private Academic School",22,Bucks County IU 22,Bucks,Open,06/21/2013,(215)996-0591,,,180 E Butler Ave,,Chalfont,PA,18914,,180 E Butler Ave,,Chalfont,PA,18914,,Director,Ms,Jillian,,Brangs,,(215)996-0591,,,,
375051722,ABBY REININGER DBA ABBY'S DAYCARE,Miscellaneous,,,Bedford,Open,04/08/2009,(814)766-4515,,,PO BOX 208,,WOODBURY,PA,16695,0208,202 GRANDVIEW STREET,,WOODBURY,PA,16695,0000,Director,Ms,ABBY,,REININGER,,,,,,
300350150,ABC Academy,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,10/01/1992,(570)282-2219,,,PO Box 64,,Carbondale,PA,18407,0064,69 N Main St,,Carbondale,PA,18407,0000,Director,Ms,Doreen,,Damskov,,(570)222-4241,,,,
396402500,"ABC Castle, Inc.",Miscellaneous,,,Luzerne,Open,03/18/2011,(570)459-1000,,,PO Box 625,,Nuremberg,PA,18241,,PO Box 625,,Nuremberg,PA,18241,,Director,Ms,Desiree,,Singley,,(570)459-1000,,,,
300510200,ABC Child Development Ctr Inc,"Other Private, Non-Licensed Entity",26,Philadelphia IU 26,Philadelphia,Open,07/06/1990,,,,5114 Wayne Ave,,Philadelphia,PA,19144,3526,5114 Wayne Ave,,Philadelphia,PA,19144,3526,,,,,,,,,,,
300050200,ABC Community Learning Center,Miscellaneous,8,Appalachia IU 8,Bedford,Open,12/19/2000,(814)839-9161,,,109 Emerson Way,PO Box 172,Alum Bank,PA,15521,,109 Emerson Way,PO Box 172,Alum Bank,PA,15521,,Director,Ms,Kristine,E,Putt,,,,,,
300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",3,Allegheny IU 3,Allegheny,Open,07/06/1990,,,,1 Grove Pl,,Pittsburgh,PA,15236,2353,1 Grove Pl,,Pittsburgh,PA,15236,2353,,,,,,,,,,,
300510250,"ABC Driving School, Inc",Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,03/10/1994,(215)868-0000,,,8802 Duveen Drive,,Wyndmoor,PA,19038,,8802 Duveen Drive,,Wyndmoor,PA,19038,,Director,,Martin,J,Roth,,(215)483-1141,,,,
311487644,ABC Early Learning LLC DBA Y2Kids Walnutport,Miscellaneous,,,Northampton,Open,01/31/2014,(484)623-4711,,,417 Lincoln Avenue,,Walnutport,PA,18088,1418,417 Lincoln Avenue,,Walnutport,PA,18088,1418,Director,Ms,Annette,,Haas,,(484)623-4711,,,,
355218510,ABC Educational Services,Act 48 Independent Provider,,,Cumberland,Open,09/21/2007,(717)241-4400,,,224 South Hanover Street,,Carlisle,PA,17013,,224 South Hanover Street,,Carlisle,PA,17013,,,,,,,,,,,,
318400022,ABC Kiddie Kampus,"Licensed, Private Academic School",18,Luzerne IU 18,Luzerne,Open,06/19/2009,(570)655-1012,,,3 Mill Street,,Pittston,PA,18640,,3 Mill Street,,Pittston,PA,18640,,Director,Ms,Gina,M,Phaneuf,,(570)282-1827,,,,
300350200,ABC Kiddie Kampus Inc,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,10/01/1990,(570)457-1799,,,701 S Main St,,Old Forge,PA,18518,1602,701 S Main St,,Old Forge,PA,18518,,Director,,Gina,,Phaneuf,,(570)282-3357,,,,
300560050,ABC Review,Miscellaneous,8,Appalachia IU 8,Somerset,Open,08/31/1994,(814)443-1131,,,614 Rear S Franklin Avenue,,Somerset,PA,15501,,614 Rear S Franklin Avenue,,Somerset,PA,15501,,,,,,,,,,,,
300020130,ABC's for Children,"Licensed, Private Academic School",3,Allegheny IU 3,Allegheny,Open,10/01/1992,(412)344-4422,,,1630 Greentree Rd,1630 Greentree Road,Pittsburgh,PA,15220,,1630 Greentree Rd,1630 Greentree Road,Pittsburgh,PA,15220,,Director,,Ashley,M,Dodd,,(412)344-4422,,,,
