LEAAUNumber,LEAInstName,LEACategory,LEAIUNumber,LEAIU,LEACountyName,LEAStatus,LEAStatusEffectiveDate,LEAWebAddress,LEAMailingAddressLine1,LEAMailingAddressLine2,LEAMailingCity,LEAMailingState,LEAMailingZipCode,LEAMailingZipCodeExtn,LEALocationAddressLine1,LEALocationAddressLine2,LEALocationCity,LEALocationState,LEALocationZipCode,LEALocationZipCodeExtn,LEAPhoneNumber,LEAPhoneNumberExtn,LEAAdminTitle,LEAAdminSalutation,LEAAdminFirstName,LEAAdminMiddleInitial,LEAAdminLastName,LEAAdminSuffix,LEAAdminPhone,LEAAdminPhoneExtn,SchoolInstCtgyDesc,SchoolAUNNum,SchoolBranchNum,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary_Ungraded,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_Ungraded,SchoolCountyName,SchoolStatus,SchoolStatusEffDate,SchoolWebAddress,SchoolPhone,SchoolPhoneExtn,SchoolMailingAddressLine1,SchoolMailingAddressLine2,SchoolMailingCity,SchoolMailingState,SchoolMailingZipCode,SchoolMailingZipCodeExtn,SchoolLocationAddressLine1,SchoolLocationAddressLine2,SchoolLocationCity,SchoolLocationState,SchoolLocationZipCode,SchoolLocationZipCodeExtn,SchoolAdminTitle,SchoolAdminSalutation,SchoolAdminFirstName,SchoolAdminMiddleInitial,SchoolAdminLastName,SchoolAdminSuffix,CyberSchoolInd,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3232,Overlook Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/23/1993,,(215)657-0857,,1750 Edge Hill Rd,,Abington,PA,19001,,1750 Edge Hill Rd,,Abington,PA,19001,,Principal,Ms,Carla,C,Greene,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3234,Roslyn Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/05/2000,,(215)884-3368,,2565 Susquehanna Street,,Roslyn,PA,19001,3108,2565 Susquehanna Street,,Roslyn,PA,19001,3108,Principal,Dr,Kevin,,Osborne,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3241,Abington SHS,2015-2016,10-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Montgomery,Open,07/15/1999,,(215)884-4700,,900 Highland Avenue,,Abington,PA,19001,4590,900 Highland Avenue,,Abington,PA,19001,4590,Principal,Dr,Jeffrey,S,Fecher,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3242,Abington JHS,2015-2016,7-9,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/05/2000,,(215)884-4700,,2056 Susquehanna St,,Abington,PA,19001,4406,2056 Susquehanna St,,Abington,PA,19001,4406,Principal,Dr,Mark,,Pellico,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,4910,Willow Hill Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,06/26/1997,,(215)657-3800,,1700 Coolidge Avenue,,Willow Grove,PA,19090,4439,1700 Coolidge Avenue,,Willow Grove,PA,19090,4439,Principal,Mr,Damon,,Jordan,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,5075,McKinley Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/20/1995,,(215)663-0430,,370 Cedar Rd,,Elkins Park,PA,19027,1655,370 Cedar Rd,,Elkins Park,PA,19027,1655,Principal,Dr,Charles,W,Lentz,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,7707,Copper Beech Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,01/28/2002,,(215)881-2000,,825 N Easton Road,,Glenside,PA,19038,5236,825 N Easton Road,,Glenside,PA,19038,5236,Principal,Mr,James,,Etlen,,,
102020003,Academy CS,Charter School                          ,2,Pittsburgh-Mt Oliver IU 2,Allegheny,Open,08/12/2005,,900 Agnew Rd,,Pittsburgh,PA,15227,,900 Agnew Rd,,Pittsburgh,PA,15227,,(412)885-5200,,Chief Executive Officer,Mr,William,G,Styche,,,,Regular School,102020003,7846,Academy CS,2015-2016,8-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,08/15/2005,,(412)885-5200,,900 Agnew Rd,,Pittsburgh,PA,15227,,900 Agnew Rd,,Pittsburgh,PA,15227,,Chief Executive Officer,Mr,William,G,Styche,,FALSE,
125230001,Achievement House CS,Charter School                          ,24,Chester County IU 24,Chester,Open,08/16/2004,http://www.achievementcharter.com/,600 Eagleview Boulevard,First Floor,Exton,PA,19341,,600 Eagleview Boulevard,First Floor,Exton,PA,19341,,(484)615-6200,,Chief Executive Officer,Mr,Donald,,Asplen,,(610)524-0143,123,Regular School,125230001,7824,Achievement House CS,2015-2016,7-SUG,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Chester,Open,08/17/2004,http://www.achievementcharter.com,(484)615-6200,,600 Eagleview Boulevard,First Floor,Exton,PA,19341,,600 Eagleview Boulevard,First Floor,Exton,PA,19341,,Chief Administrative Officer,Mr,Donald,,Asplen,,TRUE,
126514368,ACT Academy Cyber CS,Charter School                          ,26,Philadelphia IU 26,Philadelphia,Open,07/01/2012,http://www.actacademy.org,2111 Eastburn Avenue,,Philadelphia,PA,19138,,2111 Eastburn Avenue,,Philadelphia,PA,19138,,(267)297-6231,,Chief Executive Officer,Mr,John,,Spencer,,(267)297-1667,,Regular School,126514368,8217,ACT Academy Cyber CS,2015-2016,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Philadelphia,Open,07/01/2012,http://www.actacademycs.org,(267)297-6231,,2111 Eastburn Avenue,,Philadelphia,PA,19138,,2111 Eastburn Avenue,,Philadelphia,PA,19138,,Chief Executive Officer,Mr,John,,Spencer,,TRUE,
126510015,Ad Prima CS,Charter School                          ,26,Philadelphia IU 26,Philadelphia,Open,08/25/2004,,124 Bryn Mawr Ave,,Bala Cynwyd,PA,19004,,5901 Woodbine Ave,,Philadelphia,PA,19135,,(267)403-2672,304,Chief Executive Officer,Mr,Aldo,,Cavalli,,(267)403-2672,218,Regular School,126510015,7825,Ad Prima CS,2015-2016,"K5F-6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Philadelphia,Open,05/12/2005,,(267)403-2672,304,Administrative Office,124 Bryn Mawr Ave.,Bala Cynwyd,PA,19004,    ,3556 Frankford Avenue,,Philadelphia,PA,19134,    ,Chief Executive Officer,Mr,Aldo,,Cavalli,,FALSE,
108110307,Admiral Peary AVTS,Career and Technical Center,8,Appalachia IU 8,Cambria,Open,07/06/1990,http://www.admiralpeary.tec.pa.us,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,(814)472-6490,,Executive Director,Mr,Kenneth,M,Jubas,,(814)472-6490,,Occupational CTC,108110307,6661,Admiral Peary AVTS,2015-2016,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Cambria,Open,11/29/1994,http://www.admiralpeary.tec.pa.us,(814)472-6490,,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,948 Ben Franklin Highway,,Ebensburg,PA,15931,7618,Executive Director,Mr,Kenneth,M,Jubas,,,
126510020,Agora Cyber CS,Charter School                          ,23,Montgomery County IU 23,Chester,Open,09/12/2005,http://www.agoraeagles.org,590 North Gulph Road,,King of Prussia,PA,19406,    ,590 North Gulph Road,,King of Prussia,PA,19406,    ,(610)230-0775,,Acting CEO,Mr,Paul,,DeAngelo,,,,Regular School,126510020,7858,Agora Cyber CS,2015-2016,"K5F-6,7-12",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Chester,Open,09/14/2005,http://www.agoraeagles.org,(610)230-0775,,590 North Gulph Road,,King of Prussia,PA,19406,    ,590 North Gulph Road,,King of Prussia,PA,19406,    ,Acting CEO,Mr,Paul,,DeAngelo,,TRUE,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,2115,A L Wilson El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,06/29/1998,,(724)564-7434,,100 AL Wilson Drive,,Fairchance,PA,15436,1308,100 AL Wilson Drive,,Fairchance,PA,15436,1308,Principal,Mrs,Krista,,Baker,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,2116,D Ferd Swaney El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/15/1999,,(724)564-9761,,1152 Twp Dr,,Uniontown,PA,15401,9805,1152 Twp Dr,,Uniontown,PA,15401,9805,Principal,Mrs,Krista,,Baker,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,2129,George J Plava El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/12/2000,,(724)737-5424,,120 Puritan Rd,,Mc Clellandtown,PA,15458,9720,120 Puritan Rd,,Mc Clellandtown,PA,15458,9720,Principal,Mrs,Renee,,Rosie,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,4921,Smithfield El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/15/1999,,(724)569-9570,,23 Liberty St,,Smithfield,PA,15479,9705,23 Liberty St,,Smithfield,PA,15479,9705,Principal,Mrs,Candice,,Jordan,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,4922,Friendship Hill El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/15/1999,,(724)725-9515,,218 New Geneva Rd,,Point Marion,PA,15474,9722,218 New Geneva Rd,,Point Marion,PA,15474,9722,Principal,Mrs,Amy,,Przybylinski,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,6001,Albert Gallatin Area SHS,2015-2016,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Fayette,Open,07/15/1999,,(724)564-2024,,1119 Twp Dr,,Uniontown,PA,15401,9167,1119 Twp Dr,,Uniontown,PA,15401,9167,Principal,Mr,Jason,,Hutchinson,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,6002,Masontown El Sch,2015-2016,K5F-5,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/15/1999,,(724)583-1091,,201 Spring St,,Masontown,PA,15461,1896,201 Spring St,,Masontown,PA,15461,1896,Principal,Mrs,Lisa,,Haught,,,
101260303,Albert Gallatin Area SD,School District,1,Intermediate Unit 1,Fayette,Open,06/08/1999,http://www.albertgallatin.k12.pa.us,2625 Morgantown Rd,,Uniontown,PA,15401,6703,2625 Morgantown Rd,,Uniontown,PA,15401,6703,(724)564-7190,8110,Acting Superintendent,Mr,Carl,F,Bezjak,,(724)564-7190,,Regular School,101260303,7607,Albert Gallatin North MS,2015-2016,"6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Fayette,Open,07/20/1999,,(724)737-5423,,113 College Avenue,,McClellandtown,PA,15458,,113 College Avenue,,McClellandtown,PA,15458,,Principal,Mr,Randy,S,Wilson,,,
